date,biodiesel,soyoil,diesel,crude
4/13/2007,3.1,29.9,2.877,62.58
4/20/2007,3.1,29.31,2.851,63.06
4/27/2007,3.075,30.19,2.811,65.26
5/4/2007,3.14,31.13,2.792,63.82
5/11/2007,3.14,31.06,2.773,61.9
5/18/2007,3.175,32.865,2.803,63.61
5/25/2007,3.175,33.455,2.817,64.89
6/1/2007,3.2,33.71,2.799,63.94
6/8/2007,3.2,33.86,2.792,65.9
6/15/2007,3.175,32.66,2.805,66.62
6/22/2007,3.125,32.54,2.835,68.78
6/29/2007,3.125,32.945,2.829,69.13
7/6/2007,3.15,33.645,2.849,71.78
7/13/2007,3.185,35.045,2.889,72.79
7/20/2007,3.22,34.755,2.889,74.92
7/27/2007,3.235,33.715,2.886,75.15
8/3/2007,3.235,34.61,2.898,76.75
8/10/2007,3.22,34.105,2.847,71.92
8/17/2007,3.23,31.55,2.868,72.05
8/24/2007,3.22,32.94,2.863,70.19
8/31/2007,3.195,34.33,2.893,72.93
9/7/2007,3.21,35.16,2.924,75.96
9/14/2007,3.265,37.125,2.964,78.95
9/21/2007,3.34,37.44,3.032,82.26
9/28/2007,3.35,37.85,3.048,81.7
10/5/2007,3.37,36.93,3.035,80.59
10/12/2007,3.36,37.87,3.039,81.46
10/19/2007,3.51,38.89,3.094,87.8
10/26/2007,3.525,39.17,3.157,89.23
11/2/2007,3.585,40.07,3.303,93.46
11/9/2007,3.62,42.275,3.425,95.81
11/16/2007,3.78,42.66,3.41,93.56
11/23/2007,3.8,44.035,3.444,97.93
11/30/2007,3.925,44.64,3.416,92.47
12/7/2007,3.95,43.64,3.325,88.71
12/14/2007,3.875,43.76,3.309,91.18
12/21/2007,3.885,44.185,3.308,91.16
12/28/2007,3.975,46.37,3.345,95.64
1/4/2008,4.15,48.555,3.376,98.17
1/11/2008,4.22,48.52,3.326,94.76
1/18/2008,4.415,49.66,3.27,91.51
1/25/2008,4.325,48.43,3.259,89.41
2/1/2008,4.39,50.845,3.28,91.14
2/8/2008,4.525,52.245,3.28,89.08
2/15/2008,4.575,55.285,3.396,94.13
2/22/2008,4.8975,58.535,3.552,99.61
2/29/2008,5.22,64,3.658,100.84
3/7/2008,5.49,62.33,3.819,103.44
3/14/2008,5.345,58.56,3.974,109.35
3/21/2008,4.895,51.275,3.989,105.28
3/28/2008,4.95,54.355,3.964,104.49
4/4/2008,4.79,52.245,3.955,103.46
4/11/2008,5.025,57.17,4.059,109.71
4/18/2008,5.075,58.08,4.143,114.33
4/25/2008,5.025,57.42,4.177,118.53
5/2/2008,5.075,53.6,4.149,115.42
5/9/2008,5.095,57.2,4.331,123.01
5/16/2008,5.275,57.28,4.497,124.96
5/23/2008,5.325,59.58,4.723,130.14
5/30/2008,5.35,59.3,4.707,128.47
6/6/2008,5.475,60.15,4.692,128.16
6/13/2008,5.525,63.7,4.692,134.8
6/20/2008,5.55,61.495,4.648,134.34
6/27/2008,5.49,63.035,4.645,137
7/4/2008,5.77,65.48,4.727,142.52
7/11/2008,5.445,62.535,4.764,139.95
7/18/2008,5.445,61.045,4.718,135.37
7/25/2008,5.315,58.5275,4.603,125.92
8/1/2008,5.185,56.01,4.502,124.57
8/8/2008,4.7,49.93,4.353,118.8
8/15/2008,4.765,49.745,4.207,114.4
8/22/2008,4.895,53.435,4.145,115.7
8/29/2008,4.84,51.34,4.121,116.09
9/5/2008,4.675,47.51,4.059,108.37
9/12/2008,4.41,44.87,4.023,102.88
9/19/2008,4.245,42.69,3.958,97.19
9/26/2008,4.4,46.02,3.959,111.12
10/3/2008,4.26,40.71,3.875,96.59
10/10/2008,3.845,37.44,3.659,86.24
10/17/2008,3.51,33.7,3.482,75.19
10/24/2008,3.365,31.07,3.288,68.56
10/31/2008,3.245,32.98,3.088,65.21
11/7/2008,3.34,32.77,2.944,64.31
11/14/2008,3.26,31.56,2.809,58.6
11/21/2008,3.11,29.13,2.664,52.26
11/28/2008,3.11,31,2.615,53.27
12/5/2008,2.91,27.22,2.515,45.6
12/12/2008,2.745,29.34,2.422,44.57
12/19/2008,2.83,28.45,2.366,39.7
12/26/2008,2.885,29.06,2.327,32.98
1/2/2009,3.04,31.04,2.291,42.4
1/9/2009,3.28,33.28,2.314,44.46
1/16/2009,3.1,32.4,2.296,36.73
1/23/2009,3.075,30.78,2.268,42.15
1/30/2009,2.95,29.62,2.246,42.7
2/6/2009,2.975,30.3,2.219,40.78
2/13/2009,2.875,29.955,2.186,36.94
2/20/2009,2.775,26.92,2.13,37.15
2/27/2009,2.67,28.14,2.087,41.1
3/6/2009,2.775,26.94,2.045,43.18
3/13/2009,2.73,26.88,2.017,45.66
3/20/2009,2.525,28.765,2.09,49.49
3/27/2009,2.7,30.225,2.221,52.99
4/3/2009,2.77,31.725,2.228,50.34
4/10/2009,2.83,32.045,2.229,50.46
4/17/2009,3.025,33.375,2.221,49.86
4/24/2009,3.13,33.85,2.201,47.8
5/1/2009,2.95,33.97,2.185,50.2
5/8/2009,3.085,36.25,2.216,55.96
5/15/2009,3.2,36.59,2.231,57.94
5/22/2009,3.115,35.73,2.274,60.32
5/29/2009,3.15,35.685,2.352,64.32
6/5/2009,3.215,38.09,2.498,68.11
6/12/2009,3.175,36.075,2.572,70.85
6/19/2009,3.12,34.575,2.616,70.62
6/26/2009,3.025,34.165,2.608,68.58
7/3/2009,2.91,32.805,2.594,69.32
7/10/2009,2.81,29.98,2.542,61.48
7/17/2009,2.785,31.05,2.496,61.29
7/24/2009,2.885,31.92,2.528,65.28
7/31/2009,2.9,32.18,2.55,67.03
8/7/2009,3.13,33.705,2.625,71.58
8/14/2009,3.145,34.215,2.652,69.64
8/21/2009,3.045,32.3,2.668,70.8
8/28/2009,3.1,33.21,2.674,72.37
9/4/2009,3.035,31.455,2.647,68.39
9/11/2009,2.965,30.795,2.634,70.91
9/18/2009,3.035,31.8,2.622,71.32
9/25/2009,3.025,29.59,2.601,68.33
10/2/2009,2.945,31.5,2.582,68.84
10/9/2009,2.93,31.82,2.6,70.8
10/16/2009,3.16,34.03,2.705,75.73
10/23/2009,3.315,35.8,2.801,80.06
10/30/2009,3.25,35.27,2.808,78.47
11/6/2009,3.31,34.93,2.801,79
11/13/2009,3.285,36.12,2.79,78.24
11/20/2009,3.475,37.35,2.787,78.37
11/27/2009,3.42,37.85,2.775,76.14
12/4/2009,3.4,37.585,2.772,76.81
12/11/2009,3.375,36.87,2.748,71.51
12/18/2009,3.33,36.115,2.726,71.72
12/24/2009,3.335,35.935,2.732,74.76
12/31/2009,3.46,37.09,2.797,79.07
1/8/2010,3.46,37.535,2.879,82.34
1/15/2010,3.23,35.705,2.87,80.06
1/22/2010,3.22,34.425,2.833,76.62
1/29/2010,3.17,33.575,2.781,73.94
2/5/2010,3.19,34.56,2.769,74.57
2/12/2010,3.26,35.565,2.756,73.88
2/19/2010,3.375,35.855,2.832,78.25
2/26/2010,3.35,35.455,2.861,79.22
3/5/2010,3.35,36.555,2.904,80.19
3/12/2010,3.32,37.085,2.924,81.76
3/19/2010,3.295,36.225,2.946,81.44
3/26/2010,3.29,35.675,2.939,80.65
4/2/2010,3.25,35.955,3.015,83.01
4/9/2010,3.405,36.895,3.069,85.66
4/16/2010,3.35,37.045,3.074,84.34
4/23/2010,3.265,36.015,3.078,82.9
4/30/2010,3.345,35.675,3.122,84.22
5/7/2010,3.29,35.355,3.127,80.24
5/14/2010,3.215,35.3,3.094,74.98
5/21/2010,3.215,34.64,3.021,69.14
5/28/2010,3.1,35.555,2.98,70.62
6/4/2010,3.175,35.035,2.946,72.91
6/11/2010,3.135,34.125,2.928,73.44
6/18/2010,3.21,35.45,2.961,76.7
6/25/2010,3.175,34.57,2.956,77.06
7/2/2010,3.085,33.19,2.924,74.96
7/9/2010,3.15,34.265,2.903,74.39
7/16/2010,3.205,35.805,2.899,76.35
7/23/2010,3.225,36.15,2.919,77.56
7/30/2010,3.23,36.52,2.928,78.12
8/6/2010,3.32,38.435,2.991,81.79
8/13/2010,3.355,38.385,2.979,78.17
8/20/2010,3.28,37.015,2.957,74.84
8/27/2010,3.245,36.615,2.938,72.91
9/3/2010,3.24,36.69,2.931,74.02
9/10/2010,3.325,38.24,2.943,74.82
9/17/2010,3.335,38.035,2.96,75.62
9/24/2010,3.5,40.285,2.951,73.76
10/1/2010,3.575,41.475,3,78.41
